t,ax,ay,az,temp,P,hum,roll,pitch,yaw,gx,gy,gz,cx,cy,cz
2276.143602,0.301602721,-0.547582746,-0.004097486,10.88159466,1020.478027,27.61269951,275.9041564,345.6239032,115.012244,0.384234726,0.031882226,0.275154799,-13.67316341,-61.49454498,-33.87913895
2276.262431,0.389368147,-1.222532749,0.14987357,11.186656,1020.495117,27.14253998,279.6649269,344.1781144,116.457758,0.581544161,-0.39327997,-0.058683075,-13.00697422,-61.45896912,-31.46589661
2276.396131,0.11273735,-0.747559011,0.411603987,11.00720882,1020.504883,27.24849129,277.6227208,340.5546427,118.1892246,-1.171028256,-0.294625223,-1.084020376,-12.28085327,-61.46472931,-30.49169159
2276.508683,0.214564636,-0.411290169,-0.045313373,11.04309845,1020.502441,25.23872566,271.6908586,336.0266115,121.7712763,-0.690582693,-0.822412848,-0.506752729,-10.04833317,-61.5947876,-32.92475128
2276.588981,0.078067586,-0.265589714,0.039722588,11.04309845,1020.494385,25.54002571,267.2567271,336.3604011,127.7657782,-0.150883213,-0.614413202,0.426649362,-8.17327404,-61.46120071,-34.79233932
2276.672872,0.219413549,-0.292365789,-0.15305315,11.07898808,1020.493896,27.06307602,269.2072106,338.7653824,129.9875158,1.458135843,0.280198961,0.981925905,-8.748002052,-61.39373779,-34.11150742
2276.759752,0.539442122,-1.8458606,0.125016496,11.06104279,1020.498535,27.29484558,276.9614424,345.6911404,128.3691571,0.020159049,0.15649873,1.730846643,-12.44276237,-60.97789001,-30.6627388
2276.847275,0.529501855,-1.595226884,-0.101955093,11.02515316,1020.503662,27.0498333,273.9734396,353.1062888,128.2713351,-0.280692071,-0.22254315,1.445878029,-18.38461113,-60.48017502,-29.82761383
2276.934794,-0.407278806,-1.083104253,0.574149728,10.9713192,1020.514648,28.06630325,274.3075792,359.4671556,127.4063053,-0.20799911,0.32204324,0.515224814,-23.40903282,-59.31885147,-30.73867416
2277.012365,-0.237702727,-0.374865055,0.043621738,10.98926353,1020.51416,28.2152977,277.1781575,359.1175422,120.6465764,0.796263337,1.442675471,-1.419080019,-25.87351418,-58.95814514,-30.92234612
2277.099326,0.197350979,-0.547100365,-0.081467658,10.9713192,1020.518799,27.22531509,279.3012467,353.7305945,115.7982212,-0.085826077,0.76400423,0.010955565,-24.27080917,-60.08031845,-31.26643562
2277.206788,0.122677632,-1.228080988,0.316562206,11.02515316,1020.53125,26.11282539,280.2493111,356.5771666,114.6273765,0.346971959,0.530959129,0.135877505,-24.09357262,-59.3056488,-31.28833199
2277.32748,0.301117808,-1.710291624,0.662124336,10.9713192,1020.543701,27.41403961,285.1097761,353.6483851,115.8711813,0.467006981,-0.710624516,-0.978340685,-24.01319122,-59.57689285,-29.44695473
2277.450428,0.101584837,-0.687735021,0.171075195,10.9713192,1020.562988,28.20205307,282.2494978,342.3954914,118.6557265,-0.992350101,-1.113795519,-1.035762072,-18.31597137,-60.4706955,-30.35153198
2277.574224,0.037094224,-0.318659425,-0.026995203,11.04309845,1020.562012,25.47049522,271.8470173,341.2940499,126.7537764,-0.875980318,-0.823939979,0.254690796,-14.51982689,-60.89353561,-33.40529633
2277.692853,0.117343821,-0.531661868,-0.201258883,10.98926353,1020.55835,26.80813026,269.7360039,343.4490685,127.3853776,0.775799334,0.899005413,0.545462668,-13.44955444,-60.58921432,-35.25744247
2277.816387,0.729519784,-1.859851718,-0.232833609,10.88159466,1020.557373,28.0398159,273.4647885,352.9647767,126.4396423,0.677144587,-0.79553479,2.135545015,-17.3540535,-60.60057068,-35.42712021
2277.94162,-0.209563479,-0.601858616,0.042890646,10.98926353,1020.569092,27.77162552,271.7032623,356.8985086,122.4613713,0.023824239,0.600903213,-1.239180207,-21.90347672,-59.80722427,-37.21530151
2278.060841,0.102554627,-0.586420119,-0.196920365,11.02515316,1020.570801,27.7352047,272.8001565,349.9948657,120.9206172,-0.491746008,-0.038367279,-0.221173227,-19.89299011,-60.38131332,-37.59178162
2278.183703,0.07540068,-0.454469591,-0.158596814,10.95337391,1020.576416,25.64266586,269.7429775,350.4099952,121.4592323,0.705549836,0.305244446,0.244916946,-18.6369381,-60.40948486,-39.00663376
2278.306939,0.411430717,-1.886145234,-0.06893418,11.04309845,1020.590576,26.99685669,275.3751993,351.0313836,118.4954766,0.16951561,-0.348686814,-0.207734197,-18.52471924,-60.56443024,-37.18065262
2278.425972,0.232020736,-1.261611462,0.412822455,11.02515316,1020.598389,26.12606812,274.8575666,342.5706499,120.7371447,-0.635910273,-0.565238595,-2.255354404,-15.96453381,-61.00292206,-36.69931793
2278.548755,-0.009873426,-0.271861583,-0.151848003,10.98926353,1020.59668,27.11274147,267.286056,334.3496395,128.1262755,0.008552609,-0.235371321,0.070820361,-9.247079849,-60.14811325,-38.05673981
2278.671827,0.385488987,-0.441202164,-0.019282287,11.09693241,1020.573975,25.92078781,273.2811999,337.7215366,127.7918558,1.062295079,0.56547302,0.679547608,-7.149300575,-60.45503998,-36.57786942
2278.794227,0.777766466,-1.539986134,0.036310829,10.95337391,1020.562744,26.96374702,275.9254325,346.2144525,127.8976828,-0.899804056,-0.069215968,1.470007181,-10.61347294,-60.45038605,-34.64301682
2278.917324,-0.028386101,-1.242795825,0.530040622,11.11487675,1020.562988,26.78164291,273.7420123,353.096633,128.1642104,-0.49938184,0.899921715,-0.23675029,-16.38051605,-60.1114769,-35.93502426
2279.040229,0.107888438,-0.507539272,0.071159475,11.06104279,1020.570801,27.3312664,277.0149023,346.2716041,119.8157522,0.463036358,1.104866982,-1.266974568,-15.88535404,-60.84922791,-35.11153412
2279.158949,0.166317895,-0.40381217,-0.037841488,11.07898808,1020.564941,26.90083885,277.7915768,343.6278726,116.1026154,0.314290673,0.542870998,0.080594204,-13.61795425,-60.92602921,-34.7492485
2279.297043,0.337727159,-1.702089906,0.254663199,11.09693241,1020.563965,26.96374702,285.336074,347.5638229,113.394343,0.367435932,0.181849644,1.19206357,-14.16645527,-60.6701622,-31.69853783
2279.422531,0.217231542,-1.44325459,0.863661587,11.02515316,1020.565918,29.70523834,286.0855165,345.7246152,114.3544627,-0.763581097,-0.714595139,-1.670451045,-15.69906044,-60.85383224,-30.60853958
2279.545529,0.144497767,-0.533591688,0.121848419,11.04309845,1020.564697,27.4305954,280.0402663,336.904967,118.215753,-0.685084879,-0.800421715,-0.554094791,-11.06457329,-61.13491058,-32.43907928
2279.668021,0.198563203,-0.382584274,-0.194751099,10.9713192,1020.555908,24.66261482,272.1004651,336.9528244,128.776373,0.054672934,-1.026747227,1.705190301,-8.321328163,-60.68900299,-34.52606201
2279.786814,0.559807599,-1.440842271,-0.167032808,11.06104279,1020.550049,27.15247345,270.5957334,351.4105786,131.8906387,-0.888503015,-0.186807528,1.261396766,-15.03095913,-60.57700729,-36.1952858
2279.909526,-0.098487422,-1.614524841,0.398931742,11.04309845,1020.543701,25.92741013,268.5827674,356.0021976,133.9288081,-0.098654248,0.023940979,-0.205901608,-20.6716671,-59.83833694,-38.06607437
2280.032354,-0.116506428,-0.589314878,-0.340814441,11.02515316,1020.538574,28.85431671,271.1402156,349.4681582,128.391123,1.267240405,0.024857275,-1.263920188,-20.4042778,-60.39487457,-37.35616684
2280.155381,0.191047385,-0.555784464,0.070184693,11.11487675,1020.525146,27.00016785,274.6155866,346.9175026,127.3246982,-0.886059582,0.615563929,0.064406276,-18.14995384,-60.68889999,-36.7700386
2280.278204,0.247294843,-1.15113008,-0.094242178,11.02515316,1020.515137,29.74497032,273.0607419,346.2454188,126.1595226,0.868345439,0.310742229,-0.035164762,-16.81479263,-60.98999023,-36.27702332
2280.400922,0.458222806,-1.786760211,0.111856848,11.00720882,1020.511475,27.12598419,277.2274988,345.242765,128.443934,-0.036651421,-1.027358174,-0.524162352,-15.82040119,-60.80776978,-34.33182144
2280.519889,0.054550331,-0.63297677,0.14889878,11.15076637,1020.498047,26.51676559,273.7079774,336.8826135,129.0641971,-0.758388758,-0.214601904,-1.223603129,-10.76790714,-60.74901962,-35.68983841
2280.642687,0.208018601,-0.312628746,-0.210176915,11.04309845,1020.485107,27.0564537,267.4228237,333.8817169,133.7554852,-0.039705746,-0.840433359,0.498731464,-7.298284054,-60.48162079,-38.14677429
2280.765811,0.273236543,-0.510434031,-0.21596162,11.13282204,1020.477295,27.15578461,267.0010117,338.4418517,138.4472924,0.848492324,0.430471808,1.119675994,-7.750693798,-60.6953392,-36.87770081
2280.894023,0.584537148,-1.589437485,-0.226807892,11.06104279,1020.479736,27.20213699,270.211706,347.9079595,134.8827533,0.335670948,-0.048141122,1.422359705,-12.18543243,-60.7021637,-36.5358429
2281.012736,-0.290525556,-1.222291708,0.27586481,11.06104279,1020.481445,27.32464409,269.3623174,350.166896,129.9993866,-0.310929924,1.921593904,-1.07302475,-16.43795013,-60.35547256,-38.36462784
2281.142937,0.288995534,-0.545894206,0.035579737,10.9713192,1020.497314,27.26173592,271.5132532,341.5544082,120.203502,-0.616362572,0.650383294,-0.710170865,-13.66339016,-60.22439957,-39.73984528
2281.262114,0.229596287,-0.717164636,-0.196920365,11.06104279,1020.5,27.19882584,267.8092553,340.230417,118.969601,-0.08399348,0.180322483,0.110526606,-10.86521626,-59.83961105,-42.86830902
2281.38472,0.531199038,-1.296589136,0.031680588,11.04309845,1020.509277,27.9636631,271.8815985,340.6256544,115.1463343,0.85490638,-0.554853857,0.070820361,-9.354587555,-60.26031113,-41.92507935
2281.507682,0.400035769,-1.048126459,0.477402121,11.13282204,1020.513672,27.09949684,275.7426976,336.858257,117.3841912,-0.883921564,-0.393890828,-1.237958431,-8.159588814,-60.36002731,-41.35188293
2281.630605,0.171409264,-0.452781022,-0.064836696,11.09693241,1020.517822,27.07632065,269.8567206,333.6066088,123.336701,-0.119729094,-0.975740016,0.42878741,-5.325453281,-59.82651901,-42.95061493
